[2024-01-16 09:34:24,085][root][INFO] - N Train Examples: 9902
[2024-01-16 09:34:24,320][root][INFO] - N Train Examples: 9902
[2024-01-16 09:34:40,373] [INFO] [real_accelerator.py:161:get_accelerator] Setting ds_accelerator to cuda (auto detect)
[2024-01-16 09:34:40,529] [INFO] [comm.py:637:init_distributed] cdb=None
[2024-01-16 09:34:40,530] [INFO] [comm.py:668:init_distributed] Initializing TorchBackend in DeepSpeed with backend nccl
trainable params: 6,815,744 || all params: 7,248,547,840 || trainable%: 0.0940290959023318
[2024-01-16 09:34:40,819][root][INFO] - PEFT Params: None
[2024-01-16 09:34:40,821] [INFO] [real_accelerator.py:161:get_accelerator] Setting ds_accelerator to cuda (auto detect)
{'loss': 1.6276, 'learning_rate': 9.687e-05, 'epoch': 1.12}
{'loss': 1.6353, 'learning_rate': 9.686e-05, 'epoch': 1.13}
{'loss': 1.4524, 'learning_rate': 9.685000000000001e-05, 'epoch': 1.13}
{'loss': 1.6544, 'learning_rate': 9.684000000000001e-05, 'epoch': 1.13}
{'loss': 1.6253, 'learning_rate': 9.683e-05, 'epoch': 1.14}
{'loss': 1.4994, 'learning_rate': 9.682e-05, 'epoch': 1.14}
{'loss': 1.6181, 'learning_rate': 9.681e-05, 'epoch': 1.15}
{'loss': 1.4886, 'learning_rate': 9.680000000000001e-05, 'epoch': 1.15}
{'loss': 1.5112, 'learning_rate': 9.679e-05, 'epoch': 1.15}
{'loss': 1.5288, 'learning_rate': 9.678e-05, 'epoch': 1.16}
{'loss': 1.633, 'learning_rate': 9.677000000000001e-05, 'epoch': 1.16}
{'loss': 1.6765, 'learning_rate': 9.676e-05, 'epoch': 1.16}
{'loss': 1.5451, 'learning_rate': 9.675000000000001e-05, 'epoch': 1.17}
{'loss': 1.5995, 'learning_rate': 9.674000000000001e-05, 'epoch': 1.17}
{'loss': 1.6895, 'learning_rate': 9.673e-05, 'epoch': 1.17}
{'loss': 1.5249, 'learning_rate': 9.672e-05, 'epoch': 1.18}
{'loss': 1.6486, 'learning_rate': 9.671e-05, 'epoch': 1.18}
{'loss': 1.5258, 'learning_rate': 9.67e-05, 'epoch': 1.18}
{'loss': 1.5999, 'learning_rate': 9.669e-05, 'epoch': 1.19}
{'loss': 1.5144, 'learning_rate': 9.668e-05, 'epoch': 1.19}
{'loss': 1.6056, 'learning_rate': 9.667000000000001e-05, 'epoch': 1.2}
{'loss': 1.4198, 'learning_rate': 9.666e-05, 'epoch': 1.2}
{'loss': 1.5429, 'learning_rate': 9.665e-05, 'epoch': 1.2}
{'loss': 1.6854, 'learning_rate': 9.664000000000001e-05, 'epoch': 1.21}
{'loss': 1.4326, 'learning_rate': 9.663000000000002e-05, 'epoch': 1.21}
{'loss': 1.6841, 'learning_rate': 9.661999999999999e-05, 'epoch': 1.21}
{'loss': 1.5007, 'learning_rate': 9.661e-05, 'epoch': 1.22}
{'loss': 1.5708, 'learning_rate': 9.66e-05, 'epoch': 1.22}
{'loss': 1.6704, 'learning_rate': 9.659000000000001e-05, 'epoch': 1.22}
{'loss': 1.6137, 'learning_rate': 9.658e-05, 'epoch': 1.23}
{'loss': 1.605, 'learning_rate': 9.657e-05, 'epoch': 1.23}
{'loss': 1.5899, 'learning_rate': 9.656000000000001e-05, 'epoch': 1.24}
{'loss': 1.5399, 'learning_rate': 9.655e-05, 'epoch': 1.24}
{'loss': 1.5904, 'learning_rate': 9.654000000000001e-05, 'epoch': 1.24}
{'loss': 1.5891, 'learning_rate': 9.653000000000001e-05, 'epoch': 1.25}
{'loss': 1.5827, 'learning_rate': 9.652e-05, 'epoch': 1.25}
{'loss': 1.6973, 'learning_rate': 9.651e-05, 'epoch': 1.25}
{'loss': 1.6146, 'learning_rate': 9.65e-05, 'epoch': 1.26}
{'eval_loss': 1.6185128688812256, 'eval_runtime': 28.5146, 'eval_samples_per_second': 34.754, 'eval_steps_per_second': 8.697, 'epoch': 1.26}
{'loss': 1.5145, 'learning_rate': 9.649e-05, 'epoch': 1.26}
{'loss': 1.582, 'learning_rate': 9.648e-05, 'epoch': 1.26}
{'loss': 1.6309, 'learning_rate': 9.647e-05, 'epoch': 1.27}
{'loss': 1.6871, 'learning_rate': 9.646000000000001e-05, 'epoch': 1.27}
{'loss': 1.5887, 'learning_rate': 9.645000000000001e-05, 'epoch': 1.27}
{'loss': 1.6752, 'learning_rate': 9.644e-05, 'epoch': 1.28}
{'loss': 1.7169, 'learning_rate': 9.643000000000001e-05, 'epoch': 1.28}
{'loss': 1.5926, 'learning_rate': 9.642e-05, 'epoch': 1.29}
{'loss': 1.5804, 'learning_rate': 9.641000000000001e-05, 'epoch': 1.29}
{'loss': 1.5049, 'learning_rate': 9.64e-05, 'epoch': 1.29}
{'loss': 1.6923, 'learning_rate': 9.639e-05, 'epoch': 1.3}
{'loss': 1.5593, 'learning_rate': 9.638000000000001e-05, 'epoch': 1.3}
{'loss': 1.706, 'learning_rate': 9.637e-05, 'epoch': 1.3}
{'loss': 1.6586, 'learning_rate': 9.636e-05, 'epoch': 1.31}
{'loss': 1.4245, 'learning_rate': 9.635000000000001e-05, 'epoch': 1.31}
{'loss': 1.4902, 'learning_rate': 9.634e-05, 'epoch': 1.31}
{'loss': 1.5978, 'learning_rate': 9.633000000000001e-05, 'epoch': 1.32}
{'loss': 1.5964, 'learning_rate': 9.632e-05, 'epoch': 1.32}
{'loss': 1.5613, 'learning_rate': 9.631e-05, 'epoch': 1.32}
{'loss': 1.4955, 'learning_rate': 9.63e-05, 'epoch': 1.33}
{'loss': 1.5455, 'learning_rate': 9.629e-05, 'epoch': 1.33}
{'loss': 1.6173, 'learning_rate': 9.628e-05, 'epoch': 1.34}
{'loss': 1.4854, 'learning_rate': 9.627e-05, 'epoch': 1.34}
{'loss': 1.6363, 'learning_rate': 9.626e-05, 'epoch': 1.34}
{'loss': 1.4405, 'learning_rate': 9.625000000000001e-05, 'epoch': 1.35}
{'loss': 1.4308, 'learning_rate': 9.624000000000001e-05, 'epoch': 1.35}
{'loss': 1.3635, 'learning_rate': 9.623e-05, 'epoch': 1.35}
{'loss': 1.4941, 'learning_rate': 9.622000000000001e-05, 'epoch': 1.36}
{'loss': 1.6301, 'learning_rate': 9.621e-05, 'epoch': 1.36}
{'loss': 1.6786, 'learning_rate': 9.620000000000001e-05, 'epoch': 1.36}
{'loss': 1.465, 'learning_rate': 9.619e-05, 'epoch': 1.37}
{'loss': 1.6531, 'learning_rate': 9.618e-05, 'epoch': 1.37}
{'loss': 1.5272, 'learning_rate': 9.617000000000001e-05, 'epoch': 1.38}
{'loss': 1.5509, 'learning_rate': 9.616e-05, 'epoch': 1.38}
{'loss': 1.4782, 'learning_rate': 9.615e-05, 'epoch': 1.38}
{'loss': 1.6535, 'learning_rate': 9.614000000000001e-05, 'epoch': 1.39}
{'loss': 1.6234, 'learning_rate': 9.613e-05, 'epoch': 1.39}
{'loss': 1.6316, 'learning_rate': 9.612000000000001e-05, 'epoch': 1.39}
{'loss': 1.6646, 'learning_rate': 9.611e-05, 'epoch': 1.4}
{'loss': 1.5491, 'learning_rate': 9.61e-05, 'epoch': 1.4}
{'loss': 1.5958, 'learning_rate': 9.609e-05, 'epoch': 1.4}
{'loss': 1.3975, 'learning_rate': 9.608e-05, 'epoch': 1.41}
{'loss': 1.5313, 'learning_rate': 9.607000000000001e-05, 'epoch': 1.41}
{'loss': 1.564, 'learning_rate': 9.606000000000001e-05, 'epoch': 1.41}
{'loss': 1.538, 'learning_rate': 9.605e-05, 'epoch': 1.42}
{'loss': 1.3962, 'learning_rate': 9.604000000000001e-05, 'epoch': 1.42}
{'loss': 1.3931, 'learning_rate': 9.603000000000001e-05, 'epoch': 1.43}
{'loss': 1.6014, 'learning_rate': 9.602e-05, 'epoch': 1.43}
{'loss': 1.4243, 'learning_rate': 9.601e-05, 'epoch': 1.43}
{'loss': 1.4892, 'learning_rate': 9.6e-05, 'epoch': 1.44}
{'eval_loss': 1.6104308366775513, 'eval_runtime': 28.6538, 'eval_samples_per_second': 34.585, 'eval_steps_per_second': 8.655, 'epoch': 1.44}
{'loss': 1.4232, 'learning_rate': 9.599000000000001e-05, 'epoch': 1.44}
{'loss': 1.4034, 'learning_rate': 9.598e-05, 'epoch': 1.44}
{'loss': 1.6837, 'learning_rate': 9.597e-05, 'epoch': 1.45}
{'loss': 1.4881, 'learning_rate': 9.596000000000001e-05, 'epoch': 1.45}
{'loss': 1.5666, 'learning_rate': 9.595e-05, 'epoch': 1.45}
{'loss': 1.4899, 'learning_rate': 9.594e-05, 'epoch': 1.46}
{'loss': 1.5009, 'learning_rate': 9.593000000000001e-05, 'epoch': 1.46}
{'loss': 1.6206, 'learning_rate': 9.592e-05, 'epoch': 1.46}
{'loss': 1.4753, 'learning_rate': 9.591e-05, 'epoch': 1.47}
{'loss': 1.5168, 'learning_rate': 9.59e-05, 'epoch': 1.47}
{'loss': 1.6003, 'learning_rate': 9.589e-05, 'epoch': 1.48}
{'loss': 1.5182, 'learning_rate': 9.588e-05, 'epoch': 1.48}
{'loss': 1.5459, 'learning_rate': 9.587e-05, 'epoch': 1.48}
{'loss': 1.5002, 'learning_rate': 9.586000000000001e-05, 'epoch': 1.49}
{'loss': 1.5195, 'learning_rate': 9.585000000000001e-05, 'epoch': 1.49}
{'loss': 1.5842, 'learning_rate': 9.584e-05, 'epoch': 1.49}
{'loss': 1.5841, 'learning_rate': 9.583000000000001e-05, 'epoch': 1.5}
{'loss': 1.5109, 'learning_rate': 9.582000000000001e-05, 'epoch': 1.5}
{'loss': 1.684, 'learning_rate': 9.581e-05, 'epoch': 1.5}
{'loss': 1.4833, 'learning_rate': 9.58e-05, 'epoch': 1.51}
{'loss': 1.5227, 'learning_rate': 9.579e-05, 'epoch': 1.51}
{'loss': 1.525, 'learning_rate': 9.578000000000001e-05, 'epoch': 1.52}
{'loss': 1.4624, 'learning_rate': 9.577e-05, 'epoch': 1.52}
{'loss': 1.7339, 'learning_rate': 9.576e-05, 'epoch': 1.52}
{'loss': 1.6839, 'learning_rate': 9.575000000000001e-05, 'epoch': 1.53}
{'loss': 1.4309, 'learning_rate': 9.574e-05, 'epoch': 1.53}
{'loss': 1.5628, 'learning_rate': 9.573e-05, 'epoch': 1.53}
{'loss': 1.4577, 'learning_rate': 9.572000000000001e-05, 'epoch': 1.54}
{'loss': 1.6955, 'learning_rate': 9.571e-05, 'epoch': 1.54}
{'loss': 1.5427, 'learning_rate': 9.57e-05, 'epoch': 1.54}
{'loss': 1.5513, 'learning_rate': 9.569e-05, 'epoch': 1.55}
{'loss': 1.5355, 'learning_rate': 9.568e-05, 'epoch': 1.55}
{'loss': 1.4968, 'learning_rate': 9.567000000000001e-05, 'epoch': 1.55}
{'loss': 1.561, 'learning_rate': 9.566e-05, 'epoch': 1.56}
{'loss': 1.5856, 'learning_rate': 9.565000000000001e-05, 'epoch': 1.56}
{'loss': 1.6008, 'learning_rate': 9.564000000000001e-05, 'epoch': 1.57}
